2021-03-23,2144,116.45,0.54
2021-03-24,1995,97. 47,0.24
2021-03-25,2199,114.32,0.04
2021-03-27,1988,124.68,1.47
2021-03-28,940,74.08,0.48
2021-03-30,1949,100.59,0.41
2021-03-31,860,53.07,0.42
2021-04-03,2258,130.77,1.25
2021-04-04,2064,119.95,0.84
2021-04-05,1360,66.09,0.05
2021-04-07,1421,71.99,0.18
2021-04-08,766,50.10,0.10
2021-04-10,1495,111.08,0.49
2021-04-11,1495,111.08,0.49
2021-04-12,1745,123.06,1.84
2021-04-13,1464,107.08,0.43
2021-04-14,989,79.47,0.34
2021-04-18,2155,169.28,0.41
2021-04-20,1613,113.10,0.76
2021-04-21,2072,115.10,1.79
2021-04-26,2554,165.84,0.57
2021-04-27,1243,52.69,
2021-04-28,2550,125.14,0.01
2021-05-02,1411,103.18,1.19
2021-05-08,1989,137.08,1.10
2021-05-09,1595,130. 55,1.32
2021-05-10,1563,131.08,0.96
2021-05-11,1236,101.08,0.57
2021-05-12,1389,109.09,0.97
2021-05-14,1258,102.08,1.07
2021-05-15,1698,127.29,0.50
2021-05-17,858,64.20,0.66
2021-05-23,1577,127.26,0.94
2021-05-24,934,72.70,0.04
2021-05-27,1458,127. 54,1.02
2021-06-03,895,67.07,0.05
2021-06-07,1298,95.64,0.09
2021-06-09,1267,102.11,0. 10
2021-06-10,1370,92.24,0.10
2021-06-13,931,74.10,0.31
2021-06-14,1008,75.10,0.47
2021-06-17,1133,88.48,1.23
2021-06-20,1327,113.87,0.64
2021-06-21,832,73. 45,0.37
2021-06-22,1118,97.06,0.81
2021-06-24,1393,114.99,0.60
2021-06-25,754,61.68,0.53
2021-07-04,1640,135.87,0.57
2021-07-05,1197,97.08,0.23
2021-07-06,672,53.16,0.28
2021-07-10,1570,107. 18,1.26
2021-07-11,1421,118.07,0.47
2021-07-12,2014,170.10,1.98
2021-07-13,1109,92.11,0.23
2021-07-15,1008,76.27,0.36
2021-07-17,1845,129.17,0.68
2021-07-18,1005,81.58,
2021-07-20,1202,94.27,0.14
2021-07-21,1689,103.15,1.12
2021-07-22,840,47.68,0.60
2021-07-23,1810,106.38,0.05
2021-07-25,841,54.22,0.92
2021-07-26,1398,81.08,1.23
2021-07-27,747,69.98,0.41
2021-07-28,1536,116.74,0.37
2021-07-29,1163,89.73,0.45
2021-07-30,1510,120.23,1.26
2021-07-31,1300,112.08,0.65
2021-08-07,1807,151.26,0.42
2021-08-08,728,62.76,0.05
2021-08-11,1262,80.02,0.28
2021-08-12,1864,120.18,0.32
2021-08-15,1493,106.74,0.43
2021-08-16,1225,91.35,0.23
2021-08-18,1893,97. 33,0.35
2021-08-23,1255,83.93,1.06
2021-08-25,1213,81.15,0.88
2021-08-31,965,64.25,0.05
2021-09-01,1500,79.66,0.52
2021-09-02,1097,72.89,1.13
2021-09-25,948,62.07,
2021-09-27,1637,102.30,1.36
2021-09-29,1046,60.46,0.48
2021-09-30,1120,61.92,0.10
2021-10-05,1601,108.08,0.22
2021-10-12,1460,100.09,0.53
2021-11-09,924,88.04,0.55
2021-11-29,1309,101.39,0.57
2021-12-01,915,103.12,0.96
2021-12-03,1137,119.23,0.99
2021-12-04,1050,100.56,1.07
2021-12-05,1163,124.83,0.54
2021-12-07,703,71.02,0.47
2021-12-08,961,117.09,0.70
2021-12-10,1082,116.20,0.47
2021-12-14,725,80.07,0.04
